Concepto,Fechas,Monto
EXPORTACIONES,2017-01-01,517980.4
Bienes,2017-01-01,376297.7
Exportación de Mercancías Generales,2017-01-01,58495.0
Procesamiento y Maquilado,2017-01-01,83571.4
Anticipos por Exportación,2017-01-01,234231.3
Servicios,2017-01-01,141682.7
Transporte,2017-01-01,11620.3
Viajes,2017-01-01,71008.1
Comunicaciones,2017-01-01,6239.3
Construcción,2017-01-01,9529.5
Seguros - Reaseguros,2017-01-01,1240.5
Financieros,2017-01-01,6189.4
Informática e Información,2017-01-01,1024.0
Regalías y Derechos de Licencia (Franquicias),2017-01-01,0.0
Empresariales,2017-01-01,22427.8
Personales Culturales y Recreativos,2017-01-01,195.7
Gubernamentales,2017-01-01,4911.2
Comercio (Ventas Locales de Prod. en Dólares),2017-01-01,7296.9
RENTA,2017-01-01,25414.6
Remuneración de Empleados,2017-01-01,9265.8
Renta de La Inversión,2017-01-01,16148.8
TRANSFERENCIAS CORRIENTES,2017-01-01,324712.0
Donaciones Oficiales,2017-01-01,738.9
Donaciones Privadas,2017-01-01,21171.6
Remesas Familiares,2017-01-01,302801.5
MOVIMIENTOS DE CAPITAL Y FINANCIEROS,2017-01-01,819974.3
Capital Sector Privados,2017-01-01,89041.9
Capital Sector Bancario,2017-01-01,24449.0
Capital Sector Público,2017-01-01,706483.4
Total Ingresos,2017-01-01,1.6880813e6
EXPORTACIONES,2017-02-01,508381.5
Bienes,2017-02-01,385045.6
Exportación de Mercancías Generales,2017-02-01,85313.2
Procesamiento y Maquilado,2017-02-01,77864.9
Anticipos por Exportación,2017-02-01,221867.5
Servicios,2017-02-01,123335.9
Transporte,2017-02-01,11373.7
Viajes,2017-02-01,55850.1
Comunicaciones,2017-02-01,5473.3
Construcción,2017-02-01,9151.8
Seguros - Reaseguros,2017-02-01,1093.3
Financieros,2017-02-01,4463.8
Informática e Información,2017-02-01,622.7
Regalías y Derechos de Licencia (Franquicias),2017-02-01,40.3
Empresariales,2017-02-01,23948.6
Personales Culturales y Recreativos,2017-02-01,713.8
Gubernamentales,2017-02-01,2846.4
Comercio (Ventas Locales de Prod. en Dólares),2017-02-01,7758.1
RENTA,2017-02-01,30281.4
Remuneración de Empleados,2017-02-01,6101.1
Renta de La Inversión,2017-02-01,24180.3
TRANSFERENCIAS CORRIENTES,2017-02-01,357337.7
Donaciones Oficiales,2017-02-01,10.0
Donaciones Privadas,2017-02-01,20383.5
Remesas Familiares,2017-02-01,336944.2
MOVIMIENTOS DE CAPITAL Y FINANCIEROS,2017-02-01,75381.7
Capital Sector Privados,2017-02-01,53787.5
Capital Sector Bancario,2017-02-01,16690.8
Capital Sector Público,2017-02-01,4903.4
Total Ingresos,2017-02-01,971382.3
EXPORTACIONES,2017-03-01,487177.1
Bienes,2017-03-01,348315.0
Exportación de Mercancías Generales,2017-03-01,73712.2
Procesamiento y Maquilado,2017-03-01,99119.1
Anticipos por Exportación,2017-03-01,175483.7
Servicios,2017-03-01,138862.1
Transporte,2017-03-01,12598.0
Viajes,2017-03-01,49236.0
Comunicaciones,2017-03-01,5347.0
Construcción,2017-03-01,13312.1
Seguros - Reaseguros,2017-03-01,1286.6
Financieros,2017-03-01,9019.5
Informática e Información,2017-03-01,1043.7
Regalías y Derechos de Licencia (Franquicias),2017-03-01,0.0
Empresariales,2017-03-01,32230.2
Personales Culturales y Recreativos,2017-03-01,825.3
Gubernamentales,2017-03-01,6229.0
Comercio (Ventas Locales de Prod. en Dólares),2017-03-01,7734.7
RENTA,2017-03-01,27135.1
Remuneración de Empleados,2017-03-01,7293.9
Renta de La Inversión,2017-03-01,19841.3
TRANSFERENCIAS CORRIENTES,2017-03-01,423314.7
Donaciones Oficiales,2017-03-01,502.7
Donaciones Privadas,2017-03-01,24868.7
Remesas Familiares,2017-03-01,397943.3
MOVIMIENTOS DE CAPITAL Y FINANCIEROS,2017-03-01,90785.1
Capital Sector Privados,2017-03-01,66797.0
Capital Sector Bancario,2017-03-01,6397.8
Capital Sector Público,2017-03-01,17590.2
Total Ingresos,2017-03-01,1.028412e6
EXPORTACIONES,2017-04-01,407058.9
Bienes,2017-04-01,275112.7
Exportación de Mercancías Generales,2017-04-01,65816.5
Procesamiento y Maquilado,2017-04-01,95533.3
Anticipos por Exportación,2017-04-01,113763.0
Servicios,2017-04-01,131946.2
Transporte,2017-04-01,15422.4
Viajes,2017-04-01,51155.9
Comunicaciones,2017-04-01,5134.9
Construcción,2017-04-01,12355.5
Seguros - Reaseguros,2017-04-01,739.3
Financieros,2017-04-01,3305.3
Informática e Información,2017-04-01,979.8
Regalías y Derechos de Licencia (Franquicias),2017-04-01,0.0
Empresariales,2017-04-01,25285.7
Personales Culturales y Recreativos,2017-04-01,128.6
Gubernamentales,2017-04-01,11500.5
Comercio (Ventas Locales de Prod. en Dólares),2017-04-01,5938.3
RENTA,2017-04-01,26258.9
Remuneración de Empleados,2017-04-01,7501.2
Renta de La Inversión,2017-04-01,18757.7
TRANSFERENCIAS CORRIENTES,2017-04-01,366726.7
Donaciones Oficiales,2017-04-01,3001.9
Donaciones Privadas,2017-04-01,20440.3
Remesas Familiares,2017-04-01,343284.5
MOVIMIENTOS DE CAPITAL Y FINANCIEROS,2017-04-01,39169.2
